,idno,author-name,author-gender,title,year,supergenre,genre,genre-subtitle,availability,subgenre,genre-label,narrative-perspective,narrator,protagonist-gender,setting,subsubgenre,form,decade
ne0233,ne0233,Baroja,male,Pilotos,1929,narrative,novel,n.av.,restricted,adventure,novela,homodiegetic,first-person,male,sea,n.av.,prose,1920
ne0237,ne0237,Baroja,male,Estrella,1930,narrative,novel,n.av.,restricted,adventure,n.av.,homodiegetic,first-person,male,sea,n.av.,prose,1930
ne0243,ne0243,Baroja,male,Escuadron,1913,narrative,novel,n.av.,restricted,adventure,memorias,homodiegetic,first-person,male,rural,memorias,prose,1910
ne0244,ne0244,Baroja,male,Ruta,1913,narrative,novel,n.av.,restricted,adventure,memorias,homodiegetic,first-person,male,rural,n.av.,prose,1910
ne0245,ne0245,Baroja,male,Nave,1916,narrative,novel,n.av.,restricted,adventure,memorias,homodiegetic,first-person,male,rural,n.av.,prose,1910
ne0266,ne0266,BlascoIbanez,male,ParaisoMujeres,1922,narrative,novel,n.av.,free,adventure,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1920
ne0284,ne0284,Galdos,male,Amadeo,1910,narrative,novel,Episodios nacionales: Libro tercero de la serie quinta,free,adventure,episodio nacional,autodiegetic,first-person,male,big-city,n.av.,prose,1910
ne0285,ne0285,Galdos,male,Republica,1911,narrative,novel,Episodios nacionales: Libro cuarto de la serie quinta,free,adventure,episodio nacional,autodiegetic,first-person,male,small-city,n.av.,prose,1910
ne0286,ne0286,Galdos,male,Canovas,1912,narrative,novel,"Episodios nacionales, libro sexto de la serie quinta",free,adventure,episodio nacional,autodiegetic,first-person,male,big-city,n.av.,prose,1910
ne0304,ne0304,Baroja,male,Shanti,1911,narrative,novel,n.av.,restricted,adventure,n.av.,autodiegetic,first-person,male,sea,n.av.,prose,1910
ne0307,ne0307,Valdes,male,Senorito,1881,narrative,novel,Novela sin pesamiento trascendental,restricted,erotic,novela,heterodiegetic,third-person,male,rural,n.av.,prose,1880
ne0311,ne0311,Valdes,male,MajosCadiz,1896,narrative,novel,novela de costumbres,restricted,erotic,novela de costumbres,heterodiegetic,third-person,male,small-city,n.av.,prose,1890
ne0318,ne0318,Trigo,male,MediaNaranja,1910,narrative,novel,n.av.,free,erotic,n.av.,autodiegetic,first-person,male,big-city,n.av.,prose,1910
