,idno,author-name,author-gender,title,year,supergenre,genre,genre-subtitle,availability,subgenre,genre-label,narrative-perspective,narrator,protagonist-gender,setting,subsubgenre,form,decade
ne0045,ne0045,Miro,male,PalmaRota,1909,narrative,novel,n.av.,free,erotic,n.av.,heterodiegetic,third-person,male,small-city,n.av.,prose,1900
ne0048,ne0048,Miro,male,Cerezas,1910,narrative,novel,n.av.,free,erotic,n.av.,heterodiegetic,third-person,male,rural,n.av.,prose,1910
ne0053,ne0053,Miro,male,DentroCercado,1916,narrative,novel,n.av.,free,erotic,n.av.,heterodiegetic,third-person,male,rural,n.av.,prose,1910
ne0061,ne0061,Miro,male,ObispoLeproso,1926,narrative,novel,novela,free,bildungsroman,novela,heterodiegetic,third-person,male,rural,n.av.,prose,1920
ne0063,ne0063,Baroja,male,Busca,1904,narrative,novel,La lucha por la vida 1,restricted,bildungsroman,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1900
ne0067,ne0067,Baroja,male,AventurasParadox,1901,narrative,novel,n.av.,restricted,bildungsroman,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1900
ne0068,ne0068,Baroja,male,ArbolCiencia,1911,narrative,novel,La Raza (3),restricted,bildungsroman,n.av.,heterodiegetic,third-person,male,mixed,n.av.,prose,1910
ne0072,ne0072,Unamuno,male,TiaTula,1921,narrative,novel,Como se hace una novela,restricted,bildungsroman,n.av.,heterodiegetic,third-person,female,small-city,n.av.,prose,1920
ne0075,ne0075,Bazan,female,Tribuna,1883,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,female,small-city,n.av.,prose,1880
ne0079,ne0079,Bazan,female,Insolacion,1889,narrative,novel,Historia amorosa,free,erotic,historia,heterodiegetic,third-person,female,big-city,n.av.,prose,1880
ne0081,ne0081,Bazan,female,Solteron,1890,narrative,novel,Adán y Eva (Ciclo),free,erotic,n.av.,autodiegetic,first-person,male,small-city,n.av.,prose,1890
ne0084,ne0084,Bazan,female,Quimera,1905,narrative,novel,n.av.,free,erotic,n.av.,mixed,mixed,male,big-city,n.av.,prose,1900
ne0085,ne0085,Bazan,female,Sirena,1908,narrative,novel,n.av.,free,erotic,n.av.,autodiegetic,first-person,male,big-city,n.av.,prose,1900
ne0106,ne0106,Bazan,female,Fada,1916,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,male,rural,novela corta,prose,1910
ne0110,ne0110,Baroja,male,Amores,1927,narrative,novel,Agonías de nuestro tiempo,restricted,erotic,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1920
ne0111,ne0111,Baroja,male,Ansi,1912,narrative,novel,n.av.,restricted,bildungsroman,n.av.,mixed,first-person,female,big-city,n.av.,prose,1910
ne0116,ne0116,Baroja,male,camino,1902,narrative,novel,pasión mística,restricted,bildungsroman,n.av.,autodiegetic,first-person,male,mixed,n.av.,prose,1900
ne0120,ne0120,RdCastro,female,Loco,1881,narrative,novel,n.av.,free,erotic,n.av.,homodiegetic,third-person,male,rural,n.av.,prose,1880
ne0141,ne0141,WFFlorez,male,Volvoreta,1917,narrative,novel,n.av.,restricted,erotic,n.av.,heterodiegetic,third-person,female,rural,n.av.,prose,1910
ne0146,ne0146,Pereda,male,Sotileza,1885,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,first-person,female,small-city,n.av.,prose,1880
ne0149,ne0149,AEspina,male,Bandido,1929,narrative,novel,n.av.,restricted,bildungsroman,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1920
ne0151,ne0151,Valera,male,Genio,1897,narrative,novel,n.av.,free,bildungsroman,n.av.,mixed,first-person,female,big-city,n.av.,prose,1890
ne0155,ne0155,Picon,male,Dulce,1891,narrative,novel,n.av.,free,erotic,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1890
ne0160,ne0160,Trigo,male,Frio,1906,narrative,novel,Ellas a bordo,free,erotic,n.av.,autodiegetic,first-person,male,sea,n.av.,prose,1900
ne0162,ne0162,Picon,male,JuanV,1885,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1880
ne0169,ne0169,Serna,male,Viuda,1917,narrative,novel,Novela,restricted,erotic,novela,heterodiegetic,third-person,female,big-city,n.av.,prose,1910
ne0170,ne0170,Clarin,male,Cuesta,1891,narrative,novel,n.av.,free,erotic,n.av.,autodiegetic,first-person,male,small-city,n.av.,prose,1890
ne0171,ne0171,Serna,male,Incongruente,1922,narrative,novel,Novela grande,restricted,bildungsroman,novela grande,heterodiegetic,third-person,male,big-city,n.av.,prose,1920
ne0175,ne0175,Alarcon,male,Bola,1880,narrative,novel,Novela,free,bildungsroman,novela,heterodiegetic,third-person,male,rural,n.av.,prose,1880
ne0180,ne0180,Azana,male,Jardín,1927,narrative,novel,n.av.,restricted,bildungsroman,n.av.,autodiegetic,first-person,male,small-city,n.av.,prose,1920
ne0183,ne0183,Pereda,male,Montalvez,1888,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,female,big-city,novela de tesis,prose,1880
ne0185,ne0185,RPAyala,male,Tinieblas,1907,narrative,novel,Historias de libertinaje. Virginibus puerisque. Novela póstuma de Plotino Cuevas,restricted,erotic,novela,homodiegetic,third-person,male,rural,n.av.,prose,1900
ne0186,ne0186,RPAyala,male,AMDG,1910,narrative,novel,n.av.,restricted,bildungsroman,n.av.,heterodiegetic,third-person,male,small-city,n.av.,prose,1910
ne0192,ne0192,Lanza,male,Artuna,1893,narrative,novel,n.av.,free,erotic,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1890
ne0193,ne0193,Lanza,male,Santiago,1907,narrative,novel,n.av.,free,bildungsroman,n.av.,homodiegetic,first-person,male,rural,n.av.,prose,1900
ne0200,ne0200,Lorca,male,FrayAntonio,1917,narrative,novel,poema raro,restricted,bildungsroman,poema,heterodiegetic,third-person,male,rural,n.av.,prose,1910
ne0221,ne0221,Selgas,male,Nona,1883,narrative,novel,novela póstuma,free,erotic,novela póstuma,heterodiegetic,third-person,male,big-city,n.av.,prose,1880
ne0223,ne0223,Bacarisse,male,TerriblesAmores,1931,narrative,novel,Novela,free,erotic,novela,heterodiegetic,third-person,male,big-city,n.av.,prose,1930
ne0226,ne0226,Trigo,male,SiSePorQue,1916,narrative,novel,Novela,free,erotic,novela,autodiegetic,first-person,male,big-city,n.av.,prose,1910
ne0228,ne0228,Trigo,male,Carrera,1909,narrative,novel,n.av.,free,erotic,n.av.,heterodiegetic,third-person,male,small-city,n.av.,prose,1900
ne0231,ne0231,Valdes,male,Riverita,1886,narrative,novel,Novela de costumbres,restricted,bildungsroman,novela de cosutmbres,heterodiegetic,third-person,male,big-city,n.av.,prose,1880
ne0253,ne0253,BlascoIbanez,male,Naranjos,1900,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,male,small-city,n.av.,prose,1900
ne0256,ne0256,BlascoIbanez,male,Catedral,1903,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,male,small-city,n.av.,prose,1900
ne0260,ne0260,BlascoIbanez,male,Sangre,1908,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1900
ne0289,ne0289,Lanza,male,Quilla,1891,narrative,novel,n.av.,free,bildungsroman,n.av.,autodiegetic,first-person,male,sea,n.av.,prose,1890
ne0291,ne0291,Azorin,male,Tomas,1915,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,male,small-city,n.av.,prose,1910
ne0301,ne0301,Serna,male,Torero,1926,narrative,novel,n.av.,restricted,bildungsroman,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1920
ne0307,ne0307,Valdes,male,Senorito,1881,narrative,novel,Novela sin pesamiento trascendental,restricted,erotic,novela,heterodiegetic,third-person,male,rural,n.av.,prose,1880
ne0311,ne0311,Valdes,male,MajosCadiz,1896,narrative,novel,novela de costumbres,restricted,erotic,novela de costumbres,heterodiegetic,third-person,male,small-city,n.av.,prose,1890
ne0318,ne0318,Trigo,male,MediaNaranja,1910,narrative,novel,n.av.,free,erotic,n.av.,autodiegetic,first-person,male,big-city,n.av.,prose,1910
ne0320,ne0320,Hernandez,male,Calisto,1933,narrative,novel,n.av.,restricted,bildungsroman,n.av.,heterodiegetic,third-person,male,rural,n.av.,prose,1930
ne0327,ne0327,BlascoIbanez,male,AranaNegra1,1892,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,female,big-city,n.av.,prose,1890
ne0328,ne0328,BlascoIbanez,male,AranaNegra2,1892,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,female,big-city,n.av.,prose,1890
ne0329,ne0329,Valdes,male,NovelaNovelista,1921,narrative,essay,Escenas de la infancia y adolescencia,restricted,bildungsroman,novela,autodiegetic,first-person,male,small-city,n.av.,prose,1920
